time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-03T20:15:37.556Z,36.7833,-116.1334,4.8,-0.4,ml,7,221.49,0.032,0.0819,nn,nn00860804,2023-06-03T21:08:28.793Z,"47 km WNW of Indian Springs, Nevada",earthquake,,2.4,0.2,2,reviewed,nn,nn
2023-06-03T20:10:00.346Z,39.6129,-119.9654,6.7,1.5,ml,20,80.47,0.007,0.1336,nn,nn00860796,2023-06-03T20:37:25.562Z,"7 km S of Cold Springs, Nevada",earthquake,,0.9,0.3,7,reviewed,nn,nn
2023-06-03T20:07:13.943Z,64.9137,-151.0269,9.8,0.9,ml,,,,0.72,ak,ak023730pn8i,2023-06-03T20:09:08.311Z,"20 km WSW of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-03T20:00:04.313Z,61.2398,-147.4969,15.5,1.2,ml,,,,0.26,ak,ak023730o4hb,2023-06-03T20:09:05.737Z,"60 km NW of Tatitlek, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-06-03T19:58:45.150Z,19.2481670379639,-155.400665283203,31.0400009155273,1.82000005,md,32,150,,0.0900000036,hv,hv73438387,2023-06-03T20:04:39.090Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.66,0.850000024,0.800000012,7,automatic,hv,hv
2023-06-03T19:54:02.750Z,38.8084984,-122.7763367,1.37,0.75,md,11,72,0.005843,0.02,nc,nc73896556,2023-06-03T20:16:17.553Z,"4km NNW of The Geysers, CA",earthquake,0.32,0.71,0.06,13,automatic,nc,nc
2023-06-03T19:46:09.730Z,33.956,-116.7421667,25.38,0.68,ml,19,116,0.1136,0.25,ci,ci40477312,2023-06-03T19:50:17.061Z,"6km NE of Cabazon, CA",earthquake,0.54,1.19,0.111,14,automatic,ci,ci
2023-06-03T19:41:26.096Z,64.9137,-151.019,16.1,2.8,ml,,,,0.52,ak,ak023730biwx,2023-06-03T20:08:50.177Z,"20 km WSW of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-03T19:40:01.381Z,60.0601,-140.4455,0,1.5,ml,,,,0.58,ak,ak023730b9ai,2023-06-03T19:41:59.112Z,"Southern Yukon Territory, Canada",earthquake,,0.5,,,automatic,ak,ak
2023-06-03T19:38:31.151Z,36.8334,-116.2543,2.8,-0.4,ml,13,83.42,0.048,0.0883,nn,nn00860803,2023-06-03T21:05:21.875Z,"45 km E of Beatty, Nevada",earthquake,,3.8,0.86,6,reviewed,nn,nn
2023-06-03T19:22:07.213Z,-14.9753,166.8443,35,4.6,mb,42,61,6.057,0.64,us,us7000k659,2023-06-03T20:01:02.040Z,"25 km WNW of Port-Olry, Vanuatu",earthquake,7.11,1.826,0.074,55,reviewed,us,us
2023-06-03T19:16:22.569Z,63.522,-147.7666,15.2,1.1,ml,,,,0.44,ak,ak02373065qo,2023-06-03T19:18:47.028Z,"60 km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-06-03T19:11:11.760Z,38.8093338,-122.7781677,1.2,0.4,md,6,103,0.004385,0.01,nc,nc73896546,2023-06-03T19:12:48.660Z,"4km NNW of The Geysers, CA",earthquake,0.58,1.37,0.16,8,automatic,nc,nc
